"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"112644";"58720";"53922"
"5";"10";"126157";"64572";"61584"
"10";"15";"149131";"76209";"72921"
"15";"20";"151155";"77527";"73631"
"20";"25";"154749";"79421";"75331"
"25";"30";"145876";"71554";"74324"
"30";"35";"148108";"72497";"75613"
"35";"40";"159695";"78361";"81336"
"40";"45";"234027";"115916";"118114"
"45";"50";"248540";"123733";"124805"
"50";"55";"210295";"104390";"105904"
"55";"60";"179950";"88734";"91213"
"60";"65";"172774";"84398";"88379"
"65";"70";"164001";"79296";"84704"
"70";"75";"184401";"87793";"96611"
"75";"80";"113875";"50404";"63470"
"80";"85";"76532";"29119";"47410"
"85";"90";"47236";"13439";"33796"
"90";"95";"20966";"4404";"16562"
