"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"316399";"162851";"153544"
"5";"9";"358627";"183412";"175214"
"10";"14";"424085";"217379";"206708"
"15";"19";"436391";"223807";"212582"
"20";"24";"446461";"230743";"215714"
"25";"29";"422659";"211638";"211024"
"30";"34";"422532";"210779";"211756"
"35";"39";"452746";"225330";"227415"
"40";"44";"632921";"317218";"315699"
"45";"49";"680387";"343387";"337001"
"50";"54";"593988";"298963";"295025"
"55";"59";"510482";"253531";"256947"
"60";"64";"464804";"230568";"234239"
"65";"69";"404085";"196046";"208036"
"70";"74";"477993";"224589";"253406"
"75";"79";"315473";"137320";"178155"
"80";"84";"227389";"86422";"140970"
"85";"89";"134748";"37981";"96766"
"90";"94";"55826";"11811";"44011"
