"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"524574";"268998";"255579"
"5";"10";"558906";"286606";"272303"
"10";"15";"637416";"327866";"309547"
"15";"20";"671958";"344881";"327081"
"20";"25";"752327";"381672";"370658"
"25";"30";"763310";"380061";"383251"
"30";"35";"757183";"378053";"379128"
"35";"40";"767902";"382962";"384942"
"40";"45";"1010367";"510391";"499976"
"45";"50";"1079028";"546627";"532399"
"50";"55";"944815";"475455";"469361"
"55";"60";"792942";"390300";"402639"
"60";"65";"721270";"353374";"367898"
"65";"70";"616280";"298182";"318098"
"70";"75";"706552";"328969";"377586"
"75";"80";"467448";"202084";"265363"
"80";"85";"340217";"130713";"209504"
"85";"90";"202490";"57201";"145291"
"90";"95";"82625";"18315";"64312"
