"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"34676";"17337";"17337"
"5";"10";"38325";"19806";"18518"
"10";"15";"46151";"23572";"22577"
"15";"20";"52048";"26828";"25216"
"20";"25";"57498";"29658";"27843"
"25";"30";"56248";"29363";"26882"
"30";"35";"52810";"26048";"26761"
"35";"40";"52192";"25775";"26413"
"40";"45";"74808";"37277";"37529"
"45";"50";"89412";"44664";"44745"
"50";"55";"85887";"42821";"43062"
"55";"60";"75262";"37164";"38098"
"60";"65";"63855";"31652";"32206"
"65";"70";"50813";"24363";"26451"
"70";"75";"65351";"29734";"35616"
"75";"80";"46097";"19929";"26166"
"80";"85";"32837";"12525";"20310"
"85";"90";"18824";"5159";"13668"
"90";"95";"6540";"1364";"5173"
