"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"63999";"32283";"31719"
"5";"10";"62260";"31678";"30585"
"10";"15";"60155";"30815";"29337"
"15";"20";"51009";"26415";"24593"
"20";"25";"104190";"55147";"49040"
"25";"30";"101601";"54209";"47391"
"30";"35";"93155";"50052";"43104"
"35";"40";"80952";"42990";"37965"
"40";"45";"112176";"57349";"54826"
"45";"50";"148483";"75897";"72588"
"50";"55";"144311";"73119";"71191"
"55";"60";"136065";"67939";"68124"
"60";"65";"95274";"47004";"48270"
"65";"70";"87593";"41511";"46081"
"70";"75";"112112";"50411";"61699"
"75";"80";"77246";"32370";"44873"
"80";"85";"47841";"16844";"30998"
"85";"90";"22801";"5564";"17238"
"90";"95";"8765";"1542";"7221"
