"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"168215";"87003";"81213"
"5";"9";"158341";"81020";"77320"
"10";"14";"147499";"75567";"71930"
"15";"19";"120106";"61545";"58559"
"20";"24";"249288";"128968";"120323"
"25";"29";"259108";"138113";"120998"
"30";"34";"245940";"130237";"115700"
"35";"39";"219258";"116299";"102958"
"40";"44";"280440";"146409";"134029"
"45";"49";"332206";"169893";"162311"
"50";"54";"307753";"154801";"152950"
"55";"59";"313351";"154660";"158689"
"60";"64";"248873";"119730";"129141"
"65";"69";"254881";"118728";"136155"
"70";"74";"291867";"131640";"160228"
"75";"79";"200016";"84248";"115766"
"80";"84";"144971";"51545";"93424"
"85";"89";"80373";"20553";"59823"
"90";"94";"34319";"6615";"27701"
