"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"93514";"48438";"45080"
"5";"10";"87578";"45189";"42387"
"10";"15";"80365";"41681";"38681"
"15";"20";"78736";"40333";"38403"
"20";"25";"106574";"52478";"54094"
"25";"30";"135550";"66401";"69146"
"30";"35";"150610";"75042";"75565"
"35";"40";"138799";"69036";"69766"
"40";"45";"129390";"64010";"65383"
"45";"50";"114811";"57575";"57237"
"50";"55";"127876";"64627";"63247"
"55";"60";"130231";"65136";"65090"
"60";"65";"105528";"51023";"54501"
"65";"70";"81284";"38288";"42996"
"70";"75";"73086";"33009";"40075"
"75";"80";"62444";"27564";"34877"
"80";"85";"62527";"25552";"36973"
"85";"90";"33472";"11932";"21541"
"90";"95";"16479";"4446";"12030"
