"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"35669";"18265";"17402"
"5";"9";"32987";"16904";"16085"
"10";"14";"30774";"15768";"15008"
"15";"19";"32415";"16826";"15587"
"20";"24";"45390";"23798";"21589"
"25";"29";"49716";"25871";"23842"
"30";"34";"50354";"26349";"24009"
"35";"39";"45575";"23217";"22357"
"40";"44";"42142";"21451";"20694"
"45";"49";"39431";"19843";"19588"
"50";"54";"47605";"24073";"23535"
"55";"59";"51549";"25801";"25750"
"60";"64";"44890";"21583";"23310"
"65";"69";"37562";"17574";"19986"
"70";"74";"33215";"15106";"18111"
"75";"79";"26422";"11751";"14673"
"80";"84";"26687";"10993";"15700"
"85";"89";"14275";"5054";"9217"
"90";"94";"6535";"1730";"4804"
