"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"849746";"436660";"413086"
"5";"10";"843404";"432741";"410665"
"10";"15";"824744";"423042";"401700"
"15";"20";"848700";"436332";"412370"
"20";"25";"992634";"513210";"479426"
"25";"30";"1091070";"563769";"527297"
"30";"35";"1183459";"604522";"578938"
"35";"40";"1128333";"567827";"560508"
"40";"45";"1088152";"539409";"548741"
"45";"50";"1041215";"515557";"525657"
"50";"55";"1350265";"673939";"676328"
"55";"60";"1488325";"744353";"743975"
"60";"65";"1305243";"640472";"664770"
"65";"70";"1060457";"506706";"553755"
"70";"75";"876082";"405408";"470671"
"75";"80";"647947";"287225";"360720"
"80";"85";"697806";"286529";"411274"
"85";"90";"387087";"141711";"245374"
"90";"95";"185824";"51882";"133940"
