"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"179361";"91670";"87693"
"5";"10";"172986";"88132";"84851"
"10";"15";"159771";"81783";"77991"
"15";"20";"147055";"74618";"72435"
"20";"25";"191733";"94659";"97071"
"25";"30";"254203";"125667";"128534"
"30";"35";"312864";"156174";"156691"
"35";"40";"295039";"148914";"146123"
"40";"45";"256666";"129752";"126911"
"45";"50";"209203";"105691";"103518"
"50";"55";"238327";"120974";"117356"
"55";"60";"262948";"132168";"130782"
"60";"65";"219408";"108043";"111362"
"65";"70";"176204";"83259";"92942"
"70";"75";"158413";"70866";"87550"
"75";"80";"130850";"57312";"73534"
"80";"85";"133541";"54207";"79333"
"85";"90";"68186";"24794";"43390"
"90";"95";"30250";"8321";"21928"
