"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"104626";"53606";"51021"
"5";"10";"119299";"60947";"58355"
"10";"15";"118952";"60815";"58139"
"15";"20";"107272";"55527";"51743"
"20";"25";"94822";"50536";"44284"
"25";"30";"82021";"42943";"39081"
"30";"35";"140681";"70638";"70044"
"35";"40";"170087";"85438";"84651"
"40";"45";"168971";"85905";"83064"
"45";"50";"140515";"71875";"68643"
"50";"55";"186829";"94700";"92132"
"55";"60";"232055";"116700";"115353"
"60";"65";"219143";"108600";"110541"
"65";"70";"188143";"91327";"96818"
"70";"75";"141838";"66829";"75008"
"75";"80";"102285";"45080";"57203"
"80";"85";"124858";"51200";"73660"
"85";"90";"64609";"23398";"41215"
"90";"95";"27060";"7465";"19599"
