"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"82370";"42830";"39542"
"5";"10";"92516";"48149";"44366"
"10";"15";"92923";"48090";"44831"
"15";"20";"86508";"44935";"41569"
"20";"25";"90003";"47310";"42695"
"25";"30";"77869";"41028";"36843"
"30";"35";"122444";"63206";"59239"
"35";"40";"136686";"70740";"65943"
"40";"45";"131543";"68793";"62753"
"45";"50";"110793";"58026";"52765"
"50";"55";"158178";"81100";"77079"
"55";"60";"185801";"92753";"93050"
"60";"65";"181418";"88194";"93227"
"65";"70";"167051";"79276";"87777"
"70";"75";"133989";"60934";"73053"
"75";"80";"100482";"43274";"57212"
"80";"85";"113401";"45364";"68040"
"85";"90";"57433";"19664";"37766"
"90";"95";"25040";"6167";"18870"
