"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"3877937";"1987683";"1890251"
"5";"9";"3880730";"1988215";"1892512"
"10";"14";"3777504";"1937288";"1840217"
"15";"19";"3802662";"1952159";"1850504"
"20";"24";"4399638";"2279369";"2120264"
"25";"29";"4758696";"2462150";"2296544"
"30";"34";"5470694";"2799966";"2670725"
"35";"39";"5384817";"2724799";"2660018"
"40";"44";"5190461";"2600204";"2590255"
"45";"49";"4810038";"2407595";"2402447"
"50";"54";"6131189";"3078434";"3052753"
"55";"59";"6795249";"3403909";"3391338"
"60";"64";"6049720";"2973862";"3075856"
"65";"69";"5010077";"2403223";"2606851"
"70";"74";"4216705";"1965144";"2251558"
"75";"79";"3122252";"1397042";"1725208"
"80";"84";"3395607";"1410180";"1985426"
"85";"89";"1804095";"666342";"1137755"
"90";"94";"841469";"236467";"605005"
