"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"104626";"53606";"51021"
"5";"9";"119299";"60947";"58355"
"10";"14";"118952";"60815";"58139"
"15";"19";"107272";"55527";"51743"
"20";"24";"94822";"50536";"44284"
"25";"29";"82021";"42943";"39081"
"30";"34";"140681";"70638";"70044"
"35";"39";"170087";"85438";"84651"
"40";"44";"168971";"85905";"83064"
"45";"49";"140515";"71875";"68643"
"50";"54";"186829";"94700";"92132"
"55";"59";"232055";"116700";"115353"
"60";"64";"219143";"108600";"110541"
"65";"69";"188143";"91327";"96818"
"70";"74";"141838";"66829";"75008"
"75";"79";"102285";"45080";"57203"
"80";"84";"124858";"51200";"73660"
"85";"89";"64609";"23398";"41215"
"90";"94";"27060";"7465";"19599"
