"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"171163";"87833";"83331"
"5";"9";"190988";"97995";"92992"
"10";"14";"186675";"95839";"90836"
"15";"19";"171351";"87386";"83967"
"20";"24";"180813";"93923";"86893"
"25";"29";"164989";"86661";"78325"
"30";"34";"248368";"128256";"120110"
"35";"39";"274605";"141621";"132981"
"40";"44";"264026";"138327";"125701"
"45";"49";"219066";"115560";"103508"
"50";"54";"273820";"142737";"131081"
"55";"59";"312934";"157734";"155204"
"60";"64";"298652";"145849";"152799"
"65";"69";"282198";"133306";"148891"
"70";"74";"241295";"109936";"131356"
"75";"79";"185795";"80221";"105578"
"80";"84";"209919";"84934";"124987"
"85";"89";"110373";"39876";"70500"
"90";"94";"51098";"13432";"37664"
